"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Burundi,2022,12715.87,12889.576,6400.926,6488.65,496.708,98.648,15.766,345.407,26.798,347.413,2.695,25.72,439.648,36.863,34.109,4.98,2.173,30.652,102.5,94.241,49.766,44.475,7.311,61.977,60.077,63.868,51.826,50.124,53.49,12.485,11.735,13.102,5.34,4.916,5.623,15.97,36.349,426.016,22.214,50.91,166.399,182.37,150.184,331.866,366.298,297.211,163.181,182.724,143.684,276.224,309.539,243.136,2,0.155
Comoros,2022,829.245,836.774,420.357,416.416,449.636,100.946,20.261,17.056,20.359,15.057,1.799,38.53,24.201,2.278,28.887,3.912,1.752,30.571,103.2,7.145,3.951,3.194,8.528,63.68,61.522,66.061,53.218,51.254,55.392,11.892,10.881,12.902,5.043,4.621,5.404,1.102,45.518,23.3,1.414,58.495,125.469,139.304,111.407,290.539,328.808,248.587,119.095,136.8,100.769,238.316,275.396,197.783,-2,-2.387
Djibouti,2022,1113.147,1120.849,556.264,564.584,48.354,98.526,23.98,14.508,12.949,15.403,1.374,50.447,24.549,1.282,21.911,2.757,1.213,31.267,103.7,10.041,5.502,4.539,8.962,62.859,60.336,65.503,52.556,50.369,54.814,12.582,11.693,13.402,5.332,4.867,5.699,0.896,36.506,23.785,1.259,51.42,154.618,177.798,130.599,314.525,360.036,267.514,151.01,177.793,123.833,260.358,303.327,216.771,0.9,0.803
Eritrea,2022,3652.541,3684.032,1817.878,1866.154,30.41,97.413,18.413,80.139,21.699,62.981,1.71,40.535,104.981,14.125,28.426,3.786,1.726,29.434,103.2,24.842,13.039,11.803,6.727,66.604,64.457,68.678,55.098,53.246,56.839,13.531,12.696,14.221,5.819,5.39,6.13,2.995,28.578,102.355,3.902,37.586,116.183,133.152,98.759,252.652,288.303,218.526,116.961,135.452,98.922,211.465,244.289,180.807,-17.152,-4.644
Ethiopia,2022,121822.59,123379.924,61980.175,61399.749,123.38,100.945,18.647,3126.668,25.338,3114.669,2.525,27.451,3928.445,449.97,31.835,4.063,1.832,29.537,105.5,801.777,464.262,337.516,6.497,65.645,62.613,68.903,54.556,51.974,57.287,13.23,12.208,14.205,5.6,5.083,6.03,125.119,31.889,3819.98,169.472,43.724,125.427,153.693,95.49,265.953,318.315,210.908,123.195,154.357,90.956,220.092,268.213,170.578,-11.999,-0.097
Kenya,2022,53499.879,54027.487,26777.549,27249.938,93.034,98.266,19.382,1065.212,19.71,1055.216,1.953,35.491,1488.394,193.338,27.54,3.296,1.501,28.454,102.2,423.182,229.463,193.719,7.83,62.055,59.579,64.686,49.971,47.513,52.578,13.247,11.964,14.358,6.776,5.912,7.308,41.515,27.971,1451.833,56.764,38.593,145.86,160.757,130.809,386.174,436.775,332.531,206.505,236.993,174.715,356.201,407.928,301.538,-10,-0.185
Madagascar,2022,29260.083,29611.714,14836.218,14775.496,50.897,100.411,19.125,704.757,23.796,703.262,2.375,29.185,906.13,185.478,30.595,3.791,1.714,27.945,103.9,201.373,111.923,89.451,6.799,65.23,62.97,67.617,54.27,52.344,56.284,13.107,12.288,13.887,5.577,5.14,5.945,29.471,32.585,880.625,40.137,44.852,127.973,147.786,107.427,273.228,311.952,232.73,125.218,146.971,102.933,225.952,261.605,189.181,-1.5,-0.051
Malawi,2022,20146.243,20405.317,9924.861,10480.456,215.811,94.699,16.983,524.146,25.677,518.147,2.539,27.3,665.678,144.336,32.611,3.849,1.777,27.917,101.4,141.532,76.592,64.941,6.934,62.898,59.58,66.326,50.814,47.51,54.213,12.646,10.869,14.221,6.234,4.982,7.017,18.275,27.51,649.567,25.062,38.158,130.19,152.081,110.198,355.492,423.184,289.046,180.872,222.274,139.884,324.476,393.686,256.969,-6,-0.294
Mauritius,2022,1299.134,1299.469,640.751,658.717,640.133,97.273,37.142,0.675,0.52,0.67,0.052,...,13.266,1.104,10.21,1.393,0.669,28.887,103.5,12.591,6.874,5.717,9.69,73.975,70.963,77.128,60.261,57.315,63.336,16.3,14.784,17.638,7.626,6.956,8.068,0.178,13.391,13.11,0.211,15.828,45.564,57.555,33.133,160.314,205.926,112.175,67.532,90.137,43.899,145.437,190.48,98.032,0,0
Mayotte,2022,321.205,326.101,154.456,171.644,869.601,89.986,16.607,9.787,30.006,9.791,3.003,23.082,10.754,0.905,32.972,4.367,2.126,29.941,102.6,0.967,0.585,0.382,2.966,75.049,71.861,78.522,60.489,57.314,63.948,16.043,14.247,18.025,7.165,6.273,7.965,0.04,3.739,10.719,0.049,4.555,30.884,43.172,21.327,138.867,183.496,96.076,57.879,81.381,38.3,133.604,178.124,90.978,0,0
Mozambique,2022,32518.418,32969.518,16176.217,16793.302,41.926,96.325,16.903,907.197,27.51,902.201,2.737,25.325,1191.147,296.515,36.121,4.561,2.024,28.12,102,283.95,153.802,130.147,8.611,59.625,56.529,62.688,49.715,46.742,52.61,10.966,9.908,11.734,4.532,4.138,4.815,62.78,52.807,1141.329,81.963,69.627,166.137,192.669,139.517,379.546,449.933,309.048,179.992,224.634,136.091,324.724,397.263,253.029,-5,-0.152
Réunion,2022,970.131,974.052,469.868,504.183,389.621,93.194,34.04,8.469,8.693,7.841,0.805,86.105,13.969,0.853,14.337,2.224,1.086,29.876,103,5.5,3.008,2.491,5.644,82.612,79.739,85.4,68.195,65.301,71.003,21.05,19.152,22.772,10.502,9.575,11.145,0.066,4.749,13.912,0.093,6.609,13.267,16.039,10.795,64.109,90.099,39.863,19.674,28.89,11.673,57.394,83.575,32.97,-0.63,-0.647
Rwanda,2022,13618.383,13776.698,6741.039,7035.658,569.05,95.812,19.192,325.632,23.627,316.629,2.298,30.163,406.214,24.746,29.474,3.749,1.731,30.675,102.6,80.582,41.623,38.959,5.847,67.129,64.813,69.244,55.196,53.024,57.135,13.703,12.766,14.384,6.114,5.794,6.296,11.488,28.295,396.133,15.342,38.036,100.527,115.033,86.102,256.575,299.275,217.398,116.035,138.908,94.652,221.503,263.376,183.685,-8.999,-0.653
Seychelles,2022,106.887,107.118,56.395,50.724,234.395,111.181,32.798,0.662,6.181,0.463,0.432,...,1.611,0.18,15.031,2.313,1.11,27.764,103.6,0.949,0.553,0.396,8.85,71.738,68.237,76.042,57.885,54.401,62.173,14.593,12.329,16.936,6.651,5.196,7.487,0.018,11.413,1.595,0.022,13.447,53.852,64.611,40.408,184.104,235.339,123.047,82.832,107.389,52.124,170.678,221.889,109.645,-0.2,-1.865
Somalia,2022,17329.992,17597.511,8822.442,8775.069,28.051,100.54,15.226,565.041,32.074,535.038,3.041,22.793,759.044,109.399,43.086,6.202,2.521,29.275,104.4,194.003,104.208,89.795,11.012,56.107,54.072,58.233,49.133,47.217,51.111,11.31,10.559,11.994,4.823,4.466,5.099,49.962,66.165,720.51,77.158,104.462,231.209,250.681,210.984,418.43,458.657,376.937,196.708,222.696,170.08,330.986,372.855,288.418,-30,-1.703
South Sudan,2022,10829.532,10913.164,5404.538,5508.626,19.344,98.11,16.405,197.957,18.112,167.263,1.533,45.215,315.39,64.662,28.857,4.337,1.729,29.613,103.5,117.433,59.912,57.52,10.745,55.567,54.036,57.047,48.619,47.109,50.051,11.66,11.036,12.142,4.994,4.604,5.228,19.112,60.708,300.399,29.69,94.759,252.03,265.609,238.151,430.048,459.957,401.178,218.328,238.272,198.909,341.951,373.919,311.495,-30.694,-2.808
Uganda,2022,46584.197,47249.585,23401.332,23848.253,236.476,98.126,16.122,1449.618,30.636,1330.776,2.817,24.606,1713.605,296.867,36.215,4.468,2.041,28.733,102.9,263.987,140.982,123.005,5.579,63.638,61.486,65.703,51.813,49.784,53.729,11.719,11.008,12.245,4.761,4.516,4.907,52.03,30.416,1668.269,69.702,41.244,123.743,139.337,108.125,314.328,361.175,268.775,154.928,181.44,128.84,278.903,325.655,233.908,-118.846,-2.512
United Republic of Tanzania,2022,64539.598,65497.748,32370.931,33126.817,73.942,97.718,16.903,1956.292,29.852,1916.3,2.926,23.689,2346.821,443.246,35.811,4.661,2.146,28.752,103,390.529,210.628,179.9,5.959,66.782,64.72,68.93,55.178,53.22,57.208,13.35,12.062,14.613,6.211,5.258,6.982,74.487,31.821,2282.224,98.315,42.501,97.33,107.292,87.847,254.956,285.757,223.344,105.052,119.975,90.268,215.88,245.878,185.269,-39.997,-0.61
Zambia,2022,19745.738,20017.675,9877.642,10140.033,26.928,97.412,17.087,548.867,27.411,543.874,2.717,25.511,683.355,130.376,34.127,4.242,1.928,28.491,101.1,134.488,73.154,61.335,6.716,61.803,59.058,64.51,50.887,48.287,53.418,11.475,10.313,12.328,4.925,4.356,5.27,26.007,38.151,661.373,36.305,53.906,140.016,160.296,119.483,345.583,403.965,287.093,162.122,196.001,127.744,300.703,359.558,242.378,-5,-0.25
Zimbabwe,2022,16152.942,16320.537,7705.601,8614.935,42.188,89.445,18.236,345.195,21.143,335.19,2.054,33.746,491.195,85.38,30.086,3.437,1.533,27.927,102.4,146,75.369,70.631,8.943,59.391,56.428,62.094,48.3,45.389,50.908,12.098,10.74,13.19,5.912,5.092,6.474,18.378,37.421,475.65,26.013,53.182,174.159,197.345,154.263,422.065,486.961,365.883,226.274,269.632,189.764,382.439,449.363,325.386,-9.999,-0.612
Angola,2022,35049.572,35588.987,17590.767,17998.22,28.547,97.736,16.238,1079.824,30.337,1078.83,3.032,22.861,1359.723,253.89,38.2,5.209,2.306,28.855,102.7,279.899,152.181,127.718,7.863,61.929,59.351,64.541,52.268,49.924,54.605,12.37,11.448,13.157,5.465,5.065,5.727,65.41,48.208,1306.749,92.72,69.261,154.924,175.879,133.794,332.41,383.841,281.249,150.306,180.61,120.478,272.705,323.663,222.861,-1,-0.028
Cameroon,2022,27552.212,27914.536,13922.522,13992.014,59.896,99.503,17.551,729.448,26.127,724.649,2.596,26.701,959.096,161.978,34.352,4.383,1.934,28.379,103,229.648,121.29,108.358,8.225,60.958,59.392,62.556,50.947,49.656,52.248,11.886,11.328,12.389,5.298,5.093,5.46,43.826,45.751,923.258,62.549,65.862,158.826,171.237,146.223,356.758,386.857,326.051,167.184,182.257,152.03,302.082,330.334,273.611,-4.8,-0.172
Central African Republic,2022,5500.295,5579.144,2788.352,2790.791,8.956,99.913,14.705,175.153,31.341,157.697,2.827,24.519,236.643,54.09,42.344,5.918,2.445,28.823,103.3,61.49,33.428,28.062,11.003,54.477,52.258,56.829,46.265,44.216,48.428,11.306,10.383,12.303,5.545,4.912,6.141,15.978,67.698,224.799,22.401,96.883,243.768,265.361,221.282,485.09,530.609,440.49,258.783,289.407,227.144,418.106,465.188,372.802,-17.463,-3.125
Chad,2022,17449.262,17723.315,8896.002,8827.313,14.075,100.778,15.058,550.105,31.027,548.105,3.093,22.41,765.648,128.29,43.184,6.215,2.415,29.363,104.2,215.543,114.897,100.647,12.157,52.997,51.3,54.769,46.661,45.129,48.242,10.921,10.319,11.475,4.629,4.292,4.899,49.809,65.466,727.088,76.177,102.71,281.046,297.832,263.642,475.549,509.485,440.384,247.268,269.315,224.776,383.467,418.778,347.439,-2,-0.113
Congo,2022,5902.552,5970.424,2981.8,2988.624,17.483,99.772,18.262,136.736,22.9,135.744,2.274,30.481,180.175,31.075,30.175,4.095,1.845,28.844,102.6,43.439,22.927,20.512,7.275,63.053,61.513,64.617,51.873,50.519,53.235,12.414,11.571,13.181,5.514,5.207,5.744,6.614,36.697,174.567,8.935,49.751,136.887,145.454,128.18,329.506,355.098,303.779,159.938,170.727,149.074,287.427,311.581,263.389,-1,-0.167
Democratic Republic of the Congo,2022,97413.858,99010.212,49118.035,49892.177,43.674,98.448,15.556,3207.705,32.385,3192.708,3.225,21.493,4133.987,554.017,41.737,6.106,2.614,29.935,102.3,926.282,500.472,425.81,9.352,59.743,57.516,62.05,51.064,49.151,53.02,12.015,11.223,12.744,5.106,4.69,5.426,205.747,50,3965.786,302.238,75.178,190.857,211.791,169.499,360.534,401.118,318.951,170.428,194.393,146.352,289.185,328.119,249.974,-14.999,-0.151
Equatorial Guinea,2022,1655.207,1674.908,883.926,790.982,59.712,111.75,20.821,35.395,21.157,39.402,2.353,29.458,49.964,9.911,29.865,4.17,1.84,28.038,103.1,14.569,8.154,6.415,8.708,61.19,59.432,63.261,51.566,50.085,53.358,11.71,10.984,12.389,5.008,4.704,5.241,2.688,53.785,47.845,3.57,71.677,153.801,167.438,138.266,342.828,374.825,302.207,152.018,168.015,130.357,283.145,313.243,244.169,4,2.391
Gabon,2022,2365.207,2388.992,1215.505,1173.488,9.272,103.58,21.666,46.569,19.496,47.571,1.991,34.814,64.022,9.889,26.803,3.46,1.606,28.465,102.1,17.453,9.958,7.496,7.307,65.694,63.361,68.359,53.838,51.677,56.323,12.874,11.956,13.8,5.846,5.538,6.118,1.885,29.465,62.375,2.539,39.75,103.781,119.846,86.55,279.297,324.194,228.032,122.978,147.367,95.551,243.633,287.564,193.488,1,0.419
Sao Tome and Principe,2022,225.155,227.38,113.407,113.972,236.854,99.504,18.553,5.041,22.136,4.449,1.957,35.419,6.37,1.021,27.974,3.751,1.772,28.74,102.7,1.329,0.752,0.578,5.838,68.794,66.054,71.938,55.173,52.472,58.274,13.903,12.3,15.537,6.369,5.658,6.838,0.08,12.589,6.3,0.096,15.215,78.427,89.367,67.51,240.917,285.699,191.45,115.612,136.798,93.303,224.997,269.71,175.669,-0.6,-2.635
Algeria,2022,44543.592,44903.225,22862.237,22040.987,18.853,103.726,28.015,729.261,16.243,719.266,1.602,43.268,923.648,18.468,20.572,2.829,1.342,31.337,104.6,194.387,103.969,90.417,4.329,77.129,75.853,78.457,63.904,62.756,65.093,17.473,16.848,18.075,7.505,7.289,7.684,15.423,16.646,910.05,18.567,19.853,41.491,46.321,36.401,99.266,114.342,83.302,38.562,44.63,32.151,78.036,91.602,63.708,-9.999,-0.223
Egypt,2022,110132.806,110990.103,56124.592,54865.512,111.497,102.295,24.064,1744.592,15.717,1714.594,1.545,44.864,2453.941,209.498,22.107,2.878,1.368,27.74,105.4,709.349,382.589,326.76,6.39,70.159,67.869,72.557,56.604,54.362,58.942,12.322,11.06,13.412,5.253,4.604,5.648,39.322,16.016,2419.232,46.613,18.951,38.45,44.602,31.955,175.872,217.503,131.521,52.193,66.635,36.831,158.607,199.952,114.676,-29.998,-0.27
Libya,2022,6774.698,6812.341,3447.062,3365.279,4.064,102.43,26.508,77.285,11.344,75.286,1.105,62.728,117.846,2.189,17.298,2.402,1.136,31.807,105.7,40.561,22.902,17.659,5.954,72.151,69.736,74.759,58.134,55.763,60.692,14.461,12.996,15.906,6.284,5.629,6.85,1.077,9.12,116.912,1.312,11.026,47.659,56.768,38.051,170.502,203.896,135.749,72.495,87.654,56.531,158.774,191.749,124.549,-2,-0.294
Morocco,2022,37264.469,37457.971,18852.368,18605.603,83.93,101.326,28.984,427.012,11.395,387.003,1.033,67.1,643.109,38.021,17.161,2.299,1.095,30.26,104.7,216.097,120.766,95.331,5.766,74.973,72.896,77.177,61.434,59.492,63.488,15.724,14.403,17.037,6.716,6.031,7.238,9.272,14.402,634.624,10.889,16.845,38.551,43.72,33.172,119.019,141.26,96.26,42.048,48.317,35.661,101.435,121.984,80.565,-39.998,-1.067
Sudan,2022,46261.499,46874.204,23420.005,23454.198,26.557,99.854,18.48,1235.414,26.35,1225.41,2.614,26.517,1548.473,181.371,33.027,4.384,1.966,29.597,104.1,313.059,175.197,137.862,6.677,65.578,63.048,68.184,55.127,52.946,57.33,13.48,12.6,14.339,5.712,5.261,6.119,57.982,37.496,1499.138,81.055,52.887,131.033,153.242,107.709,262.827,305.726,220.537,118.099,142.269,92.86,209.481,249.215,171.315,-9.999,-0.213
Tunisia,2022,12308.697,12356.117,6098.372,6257.745,79.496,97.453,32.026,98.841,7.999,94.84,0.768,90.254,192.759,2.777,15.6,2.064,0.98,30.981,105.2,93.918,53.525,40.392,7.601,74.263,71.367,77.408,60.671,57.816,63.765,15.35,13.546,17.211,6.523,5.646,7.222,2.617,13.537,190.468,3.128,16.013,42.937,53.248,32.714,126.011,160.813,91.201,49.241,65.491,33.295,108.969,143.233,74.869,-4,-0.324
Western Sahara,2022,570.311,575.986,317.891,258.094,2.165,123.168,31.272,5.746,10.026,11.349,1.97,35.185,9.356,0.69,16.325,2.275,1.064,30.045,105.1,3.61,2.196,1.414,6.299,70.976,69.319,73.097,58.343,56.981,60.151,14.148,13.372,15.044,5.915,5.631,6.229,0.222,23.712,9.159,0.268,28.516,63.207,72.102,53.172,175.423,197.901,144.208,65.354,73.035,54.857,147.2,166.245,119.572,5.6,9.77
Botswana,2022,2607.583,2630.296,1298.807,1331.489,4.641,97.545,23.638,42.423,16.139,45.426,1.727,40.136,60.554,5.922,23.036,2.754,1.261,28.477,103.2,18.131,9.668,8.463,6.897,65.913,63.328,68.399,54.41,51.947,56.739,14.066,12.986,14.874,6.84,6.231,7.223,2.008,33.1,58.829,2.683,44.065,116.706,133.094,99.928,287.823,335.854,240.861,134.822,161.609,107.973,248.815,296.6,202.615,3,1.141
Eswatini,2022,1197.454,1201.67,596.167,605.504,69.209,98.458,21.619,14.164,11.759,8.433,0.702,98.739,28.476,4.239,23.642,2.785,1.238,27.983,103,14.312,8.108,6.204,11.883,56.36,52.647,60.599,44.971,41.266,49.192,10.921,9.491,11.984,5.177,4.717,5.497,1.119,39.165,27.54,1.508,52.541,198.805,234.26,160.167,498.063,590.428,391.965,285.044,351.987,206.845,464.596,561.016,354.554,-5.733,-4.76
Lesotho,2022,2294.313,2305.825,1137.496,1168.329,75.949,97.361,22.19,27.021,11.709,23.025,0.999,69.384,59.49,10.329,25.778,2.98,1.257,27.851,102.8,32.469,17.194,15.275,14.069,53.036,50.319,55.923,43.925,41.455,46.531,11.244,9.855,12.29,5.944,5.03,6.497,4.116,69.014,56.474,5.308,89.069,253.077,280.51,224.044,544.608,600.044,484.502,311.143,352.524,264.995,492.034,549.165,430.905,-4,-1.733
Namibia,2022,2549.182,2567.012,1238.563,1328.449,3.118,93.234,21.398,39.726,15.464,35.661,1.389,49.903,69.157,7.703,26.921,3.248,1.47,29.123,101.1,29.431,15.859,13.573,11.457,58.059,54.592,61.704,46.009,42.516,49.669,10.751,8.909,12.234,5.111,4.019,5.736,2.062,29.772,67.362,2.873,41.508,171.144,199.194,143.593,463.502,546.662,379.158,255.11,310.999,199.36,435.067,521.268,348.105,-4.061,-1.581
